%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5
9234000000,row,2,1,0,-20.01080322265625,0.0013550749281421304,0.09999999403953552,0.0,0.0,0.09999999403953552
9734000000,row,2,1,0,-20.01080322265625,0.0013550749281421304,0.09999999403953552,0.0,0.0,0.09999999403953552
10239000000,row,2,1,0,-20.01080322265625,0.0013550749281421304,0.09999999403953552,0.0,0.0,0.09999999403953552
10734000000,row,2,1,0,-20.01080322265625,0.0013550749281421304,0.09999999403953552,0.0,0.0,0.09999999403953552
11234000000,row,2,1,0,-20.01080322265625,0.0013550749281421304,0.09999999403953552,0.0,0.0,0.09999999403953552
11735000000,row,2,1,0,-20.01080322265625,0.0013550749281421304,0.09999999403953552,0.0,0.0,0.09999999403953552
12252000000,row,2,1,0,-19.8615665435791,0.009699063375592232,0.10999999940395355,0.0,0.0,0.10999999940395355
12745000000,row,2,1,0,-19.7119083404541,0.016904525458812714,0.11999999731779099,0.0,0.0,0.11999999731779099
13248000000,row,2,1,0,-19.562057495117188,0.022234786301851273,0.12999999523162842,0.0,0.0,0.12999999523162842
13740000000,row,2,1,0,-19.412137985229492,0.0257332194596529,0.14000000059604645,0.0,0.0,0.14000000059604645
14245000000,row,2,1,0,-19.262157440185547,0.027498042210936546,0.14999999105930328,0.0,0.0,0.14999999105930328
14745000000,row,2,1,0,-19.112157821655273,0.027356823906302452,0.1599999964237213,0.0,0.0,0.1599999964237213
15245000000,row,2,1,0,-18.961572647094727,0.025893211364746094,0.17000000178813934,0.0,0.0,0.17000000178813934
15751000000,row,2,1,0,-18.81222915649414,0.023042947053909302,0.17999999225139618,0.0,0.0,0.17999999225139618
16254000000,row,2,1,0,-18.662321090698242,0.01934274658560753,0.1899999976158142,0.0,0.0,0.1899999976158142
16755000000,row,2,1,0,-18.509429931640625,0.01526478212326765,0.19999998807907104,0.0,0.0,0.19999998807907104
17247000000,row,2,1,0,-18.36253547668457,0.011327691376209259,0.20999999344348907,0.0,0.0,0.20999999344348907
17740000000,row,2,1,0,-18.211124420166016,0.007667286321520805,0.2199999988079071,0.0,0.0,0.2199999988079071
18247000000,row,2,1,0,-18.062681198120117,0.004752938635647297,0.22999998927116394,0.0,0.0,0.22999998927116394
18743000000,row,2,1,0,-17.912416458129883,0.002369135618209839,0.23999999463558197,0.0,0.0,0.23999999463558197
19253000000,row,2,1,0,-17.762731552124023,0.000919037964195013,0.25,0.0,0.0,0.25
19738000000,row,2,1,0,-17.612733840942383,0.00025156483752653003,0.25999999046325684,0.0,0.0,0.25999999046325684
20246000000,row,2,1,0,-17.46273422241211,5.3353403927758336e-05,0.26999998092651367,0.0,0.0,0.26999998092651367
20755000000,row,2,1,0,-17.310335159301758,0.0005632544634863734,0.2800000011920929,0.0,0.0,0.2800000011920929
21253000000,row,2,1,0,-17.16274070739746,0.0013319668360054493,0.28999999165534973,0.0,0.0,0.28999999165534973
21741000000,row,2,1,0,-17.012746810913086,0.0023491124156862497,0.29999998211860657,0.0,0.0,0.29999998211860657
22238000000,row,2,1,0,-16.862756729125977,0.0035672106314450502,0.3100000023841858,0.0,0.0,0.3100000023841858
22749000000,row,2,1,0,-16.712764739990234,0.004651542287319899,0.3199999928474426,0.0,0.0,0.3199999928474426
23249000000,row,2,1,0,-16.562469482421875,0.005548438522964716,0.32999998331069946,0.0,0.0,0.32999998331069946
23754000000,row,2,1,0,-16.41187286376953,0.006207752972841263,0.3400000035762787,0.0,0.0,0.3400000035762787
24238000000,row,2,1,0,-16.262771606445312,0.006412906106561422,0.3499999940395355,0.0,0.0,0.3499999940395355
24747000000,row,2,1,0,-16.11277198791504,0.006189009174704552,0.35999998450279236,0.0,0.0,0.35999998450279236
25236000000,row,2,1,0,-15.962775230407715,0.005594892892986536,0.3700000047683716,0.0,0.0,0.3700000047683716
25742000000,row,2,1,0,-15.812785148620605,0.0043861172161996365,0.3799999952316284,0.0,0.0,0.3799999952316284
26255000000,row,2,1,0,-15.662800788879395,0.0028586622793227434,0.38999998569488525,0.0,0.0,0.38999998569488525
26739000000,row,2,1,0,-15.51252269744873,0.001055391039699316,0.3999999761581421,0.0,0.0,0.3999999761581421
27242000000,row,2,1,0,-15.362853050231934,-0.0010639469837769866,0.4099999964237213,0.0,0.0,0.4099999964237213
27736000000,row,2,1,0,-15.212882995605469,-0.003183057066053152,0.41999998688697815,0.0,0.0,0.41999998688697815
28242000000,row,2,1,0,-15.06291675567627,-0.005434006452560425,0.429999977350235,0.0,0.0,0.429999977350235
28737000000,row,2,1,0,-14.912951469421387,-0.007709812838584185,0.4399999976158142,0.0,0.0,0.4399999976158142
29246000000,row,2,1,0,-14.762080192565918,-0.009785915724933147,0.44999998807907104,0.0,0.0,0.44999998807907104
29745000000,row,2,1,0,-14.613004684448242,-0.011712598614394665,0.4599999785423279,0.0,0.0,0.4599999785423279
30239000000,row,2,1,0,-14.46302604675293,-0.013487729243934155,0.4699999988079071,0.0,0.0,0.4699999988079071
30745000000,row,2,1,0,-14.31303882598877,-0.014891712926328182,0.47999998927116394,0.0,0.0,0.47999998927116394
31237000000,row,2,1,0,-14.16304874420166,-0.016143593937158585,0.4899999797344208,0.0,0.0,0.4899999797344208
31743000000,row,2,1,0,-14.013056755065918,-0.017182838171720505,0.5,0.0,0.0,0.5
32247000000,row,2,1,0,-13.863059997558594,-0.017932938411831856,0.5099999904632568,0.0,0.0,0.5099999904632568
32756000000,row,2,1,0,-13.713064193725586,-0.0186904426664114,0.5199999809265137,0.0,0.0,0.5199999809265137
33241000000,row,2,1,0,-13.563065528869629,-0.019242320209741592,0.5299999713897705,0.0,0.0,0.5299999713897705
33742000000,row,2,1,0,-13.413066864013672,-0.019706789404153824,0.5399999618530273,0.0,0.0,0.5399999618530273
34233000000,row,2,1,0,-13.263069152832031,-0.0202947910875082,0.550000011920929,0.0,0.0,0.550000011920929
