%time,field.data
14734000000,95.83496856689453
15729000000,95.83998107910156
16728000000,95.84249114990234
17740000000,96.75353240966797
18722000000,98.43441009521484
19741000000,99.83577728271484
20743000000,100.60844421386719
21736000000,101.00848388671875
22733000000,101.21149444580078
23729000000,101.93873596191406
24732000000,103.30601501464844
25726000000,104.84233856201172
26729000000,106.28944396972656
27744000000,107.30764770507812
28738000000,107.86292266845703
29728000000,108.15005493164062
30741000000,108.29576873779297
31736000000,108.36914825439453
32729000000,108.40596008300781
33725000000,108.42439270019531
34729000000,108.43362426757812
35742000000,108.43824005126953
36732000000,108.60385131835938
37744000000,109.261474609375
38737000000,110.28529357910156
39721000000,111.37835693359375
40733000000,112.39705657958984
41719000000,113.32118225097656
42749000000,114.16220092773438
43728000000,114.92760467529297
44726000000,115.62308502197266
45736000000,116.25401306152344
46728000000,116.82530212402344
47740000000,117.34149932861328
48743000000,117.80677032470703
49734000000,118.1835708618164
50723000000,118.3990707397461
51723000000,118.5129623413086
52752000000,118.63272857666016
53728000000,118.8714828491211
54727000000,119.18376922607422
55737000000,119.4946517944336
56738000000,119.77503967285156
57731000000,120.02278137207031
58734000000,120.24052429199219
59734000000,120.43075561523438
60727000000,120.5958251953125
61750000000,120.7379379272461
62742000000,120.85916900634766
63743000000,120.96149444580078
64728000000,121.04678344726562
65726000000,121.11729431152344
66734000000,121.17495727539062
67722000000,121.22122192382812
68733000000,121.25749206542969
69742000000,121.28507995605469
70740000000,121.30522918701172
71761000000,121.31915283203125
72761000000,121.32797241210938
73729000000,121.33277893066406
74732000000,121.33494567871094
75742000000,121.33547973632812
76728000000,121.33586883544922
77753000000,121.33659362792969
78740000000,121.33702087402344
79728000000,121.33724212646484
80743000000,121.33736419677734
81721000000,121.337158203125
82728000000,121.33660125732422
83746000000,121.33638000488281
84734000000,121.33558654785156
85726000000,121.33209991455078
86731000000,121.32344055175781
87721000000,121.3067855834961
88732000000,121.27931213378906
89737000000,121.23807525634766
90747000000,121.1805648803711
91731000000,121.10421752929688
92735000000,121.00657653808594
93729000000,120.88533782958984
94756000000,120.73869323730469
95747000000,120.56475067138672
96737000000,120.36156463623047
97759000000,120.12739562988281
98745000000,119.8607177734375
99739000000,119.5600357055664
100728000000,119.22405242919922
101736000000,118.85157775878906
102746000000,118.44149780273438
103734000000,117.992919921875
104728000000,117.50492095947266
105730000000,116.97679138183594
106742000000,116.40789031982422
107732000000,115.79780578613281
108738000000,115.1464614868164
109732000000,114.45362854003906
110766000000,113.71943664550781
111745000000,112.94409942626953
112737000000,112.12822723388672
113752000000,111.27281188964844
114729000000,110.37957763671875
115729000000,109.45237731933594
116734000000,108.49238586425781
117724000000,107.49942016601562
118720000000,106.47329711914062
119741000000,105.4138412475586
120740000000,104.32088470458984
121727000000,103.19424438476562
122734000000,102.03376007080078
123741000000,100.83924865722656
124728000000,99.61054992675781
125739000000,98.34749603271484
126736000000,97.04991149902344
127729000000,95.71763610839844
128749000000,94.35051727294922
129744000000,92.94837951660156
130744000000,91.51107025146484
131729000000,90.0384292602539
132748000000,88.53030395507812
133737000000,86.98653411865234
134737000000,85.40697479248047
135740000000,83.79146575927734
136730000000,82.13986206054688
137732000000,80.45201873779297
138744000000,78.72777557373047
139734000000,76.96342468261719
140733000000,75.15583801269531
141741000000,73.31620788574219
142741000000,71.44293975830078
143734000000,69.53401947021484
144728000000,67.58830261230469
145741000000,65.60523986816406
146730000000,63.58470916748047
147755000000,61.526588439941406
148727000000,59.43069076538086
149749000000,57.296905517578125
150739000000,55.12508773803711
151732000000,52.91511154174805
152735000000,50.66685485839844
153733000000,48.38018798828125
154738000000,46.054988861083984
155732000000,43.691131591796875
156740000000,41.28849792480469
157733000000,38.84697723388672
158743000000,36.36644744873047
159748000000,33.84678649902344
160724000000,31.287885665893555
161734000000,28.68962860107422
162733000000,26.051902770996094
163743000000,23.374595642089844
164730000000,20.6575984954834
