%time,field.data
12695000000,72.34004974365234
13696000000,72.41605377197266
14691000000,72.9422836303711
15697000000,73.940185546875
16710000000,75.13719177246094
17697000000,76.06400299072266
18703000000,76.85791778564453
19695000000,77.60890197753906
20695000000,78.30118560791016
21692000000,78.89668273925781
22697000000,79.4067611694336
23709000000,79.84142303466797
24705000000,80.2094955444336
25710000000,80.5188217163086
26703000000,80.77642822265625
27702000000,80.98860931396484
28697000000,81.16105651855469
29695000000,81.29893493652344
30706000000,81.40692901611328
31690000000,81.48933410644531
32687000000,81.55007934570312
33696000000,81.59278869628906
34715000000,81.62079620361328
35697000000,81.63717651367188
36701000000,81.6452407836914
37696000000,81.64826202392578
38701000000,81.64812469482422
39700000000,81.64659118652344
40696000000,81.64559173583984
41692000000,81.64508819580078
42704000000,81.64144134521484
43699000000,81.62968444824219
44698000000,81.60368347167969
45703000000,81.55692291259766
46687000000,81.48297882080078
47691000000,81.37592315673828
48692000000,81.23021697998047
49702000000,81.04058837890625
50704000000,80.80253601074219
51690000000,80.51153564453125
52695000000,80.16381072998047
53715000000,79.75546264648438
54704000000,79.28333282470703
55694000000,78.72602844238281
56708000000,78.108154296875
57701000000,77.43404388427734
58693000000,76.68608093261719
59698000000,75.85970306396484
60702000000,74.95352172851562
61704000000,73.9669418334961
62714000000,72.89915466308594
63700000000,71.74956512451172
64698000000,70.51759338378906
65690000000,69.20298767089844
66693000000,67.8061752319336
67699000000,66.32717895507812
68698000000,64.76673126220703
69691000000,63.125728607177734
70687000000,61.40580368041992
71692000000,59.609371185302734
72693000000,57.740257263183594
73702000000,55.80656051635742
74698000000,53.81083297729492
75692000000,51.75290298461914
76696000000,49.63257598876953
77704000000,47.449676513671875
78688000000,45.20402145385742
79705000000,42.895423889160156
80689000000,40.52368927001953
81703000000,38.0886344909668
82694000000,35.59006881713867
83692000000,33.027801513671875
84721000000,30.401647567749023
85694000000,27.711421966552734
86714000000,24.956933975219727
87702000000,22.137996673583984
88701000000,19.254425048828125
89697000000,16.306028366088867
90702000000,13.29262924194336
91702000000,10.214043617248535
